-16.07799,-48.12302,23.01,109908.82,0005.19,000.08
-16.09623,-48.15288,23.05,109565.84,0011.73,000.13
-16.04174,-48.23471,23.06,109260.39,0019.56,000.28
-16.09706,-48.18343,23.13,108919.52,0022.62,000.44
-16.16738,-48.08408,23.32,108376.65,0027.61,000.47
-16.22938,-48.15561,23.43,107946.38,0034.96,000.49
-16.20422,-48.14354,23.49,107881.60,0036.30,000.68
-16.27033,-48.0842,23.59,107553.36,0040.48,000.71
-16.2665,-48.01711,23.73,107371.77,0043.98,000.79
-16.24215,-48.08294,23.88,107194.03,0046.10,000.98
-16.16966,-48.03076,24.00,106778.40,0048.44,001.14
-16.20915,-48.03113,24.10,106198.38,0057.42,001.32
-16.1124,-48.01186,24.12,105856.34,0060.36,001.41
-16.16195,-47.95975,24.19,105271.93,0064.77,001.44
-16.20915,-48.01203,24.27,104841.92,0070.29,001.63
-16.13743,-48.00826,24.30,104823.12,0072.57,001.74
-16.07219,-48.09978,24.39,104331.33,0077.44,001.79
-15.99624,-48.0259,24.56,103611.23,0086.91,001.82
-15.90975,-48.01459,24.60,103143.83,0091.04,001.94
-15.81047,-47.92117,24.65,102763.11,0092.17,002.08
-15.85343,-47.94964,24.79,102144.60,0100.52,002.24
-15.83564,-47.89495,24.89,102102.30,0102.56,002.24
-15.92946,-47.8624,25.04,101735.77,0106.67,002.34
-15.89275,-47.8174,25.09,101623.51,0109.92,002.37
-15.96931,-47.7539,25.14,101475.44,0116.90,002.45
-15.87605,-47.77673,25.20,101143.18,0122.17,002.55
-15.94405,-47.71233,25.35,100957.45,0131.46,002.62
-15.93632,-47.79033,25.53,100933.45,0140.74,002.74
-16.00801,-47.70207,25.60,100855.92,0145.22,002.85
-15.94218,-47.77966,25.72,100197.89,0153.15,002.90
-16.01021,-47.759,25.82,099706.48,0154.98,002.90
-16.07418,-47.77102,25.88,099186.41,0164.40,003.09
-16.17194,-47.74902,25.95,099138.71,0170.51,003.15
-16.09512,-47.66927,26.11,098488.28,0179.06,003.29
-16.15094,-47.72396,26.27,098470.37,0189.85,003.36
